frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,UNMARKED,UP,,L,,UNMARKED,R,, -RYW,,WEB,,,,,,,
,,,,,,,,,GYR,UP,,L/H,,RYR,UP,, +RYW,,,,,,,,,
,,,,,,,,,RY,R,,L,,RWB,G,,,,,H,,,,,,
,,,,,,,,,GG,UP,,L,,GWR,R,,,,,,,,,,,
,,,,,,,,,GB,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYB,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,AN,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,,,W/T,,,,,,,,,,,,,,
,,,,,,,,,GWBl,,,AB,,,,,,,,,,,,,,
,,3/16/16,,23,8,GW,9,0,GW,R,,AB,5,GBl,R,WEB, -GW,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L/T,,GBR,R,, -RW,,,,,,,,,
,,,,,,,,,RBl,R,,W/T,,GG,G,, -RBl,,,,,,,,,
,,,,,,,,,RW,R,,L,,GWB,G,, +RBl,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,UNMARKED,G,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,,AB/T,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,W/AB,,,,,,,,,,,,,,
,,,,,,,,,GYB,,,,,,,,,,,,,,,,,
,,3/18/16,12:00 pm,24,32,UNMARKED,6,0,UNMARKED,UP,,H,5,RYB,G,, -GBR,,,,,,,,,
,,,,,,,,,UNMARKED,UP,WEB,AB,,RBl,R,, -RWG,,,,,,,,,
,,,,,,,,,GW,R,,W,,RBR,R,, -GW,,,,,,,,,
,,,,,,,,,RWG,G,,T,,GWR,R,, +RWG,,,AB,,,,,,
,,,,,,,,,GBR,G,,L,,UNMARKED,UP,, -RWG,,,,,,,,,
,,,,,,,,,GYR,G,,L,,,,, -GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWG,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,L,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
